ILCE,NÃ¼fus_2024,Yuzolcumu_km2,Bina_Sayisi,Tahmini_Can_Kaybi,Tahmini_Hasarli_Bina
ESENYURT,988369,43.44,197673,2965,27674
KUCUKCEKMECE,789033,118.22,157806,1814,17358
PENDIK,749356,190.26,149871,1198,11989
UMRANIYE,727819,45.3,145563,1673,16011
BAGCILAR,713954,22.44,142790,2141,19990
BAHCELIEVLER,560686,16.7,112137,1682,15699
SULTANGAZI,532601,36.43,106520,1224,11717
MALTEPE,532092,50.43,106418,1223,11705
BASAKSEHIR,520467,104.33,104093,832,8327
USKUDAR,512881,35.71,102576,1179,11283
SANCAKTEPE,502077,61.9,100415,1154,11045
GAZIOSMANPASA,493845,40.52,98769,1135,10864
KARTAL,475859,38.54,95171,1094,10468
KADIKOY,462189,25.2,92437,1586,13941
KAGITHANE,444820,14.87,88964,1334,12454
AVCILAR,440534,42.59,88106,1013,9691
ESENLER,423625,5.21,84725,1270,11861
EYUPSULTAN,420706,242.6,84141,673,6731
BEYLIKDUZU,415290,37.21,83058,955,9136
ATASEHIR,414866,25.2,82973,934,9127
SULTANBEYLI,389193,29.09,77838,895,8562
FATIH,354472,15.62,70894,1063,9925
ARNAVUTKOY,348464,506.55,69692,557,5575
SARIYER,342582,151.3,68516,548,5481
CEKMEKOY,336739,152.06,67347,538,5387
TUZLA,301400,123.7,60280,482,4822
BUYUKCEKMECE,280528,196.31,56105,448,4488
ZEYTINBURNU,278344,14.08,55668,835,7793
BAYRAMPASA,268305,8.97,53661,804,7512
GUNGOREN,264831,7.21,52966,794,7415
SISLI,257056,10.69,51411,771,7197
BEYKOZ,245025,315.0,49005,392,3920
SILIVRI,232156,893.82,46431,371,3714
BAKIRKOY,227683,29.64,45536,523,5008
BEYOGLU,216688,8.76,43337,650,6067
BESIKTAS,213802,11.41,42760,641,5986
CATALCA,167284,1111.23,33456,267,2676
SILE,80399,736.35,16079,128,1286
ADALAR,48366,11.05,9673,77,773
