Date,Longitude,Latitude,Depth,Type,Magnitude,Location,EventID,TimeName,TypeName,MagnitudeName
"17/08/1999 16:31:11",28.7,40.42,8,"mb",4,"-",19599,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"17/08/1999 13:36:46",30.3,40.717,20.6,"mb",4,"-",19597,"NEIC","NEIC","NEIC"
"17/08/1999 11:31:55",30.067,40.722,7,"mb",4.2,"-",19595,"ISC","ISC","ISC"
"17/08/1999 08:35:02",30.486,40.693,12.3,"mb",4.1,"-",19589,"ISC","ISC","ISC"
"17/08/1999 08:01:33",29.91,40.774,11.4,"mb",4.1,"-",19587,"ISC","ISC","ISC"
"17/08/1999 07:45:22",30.023,40.744,7,"mb",4.3,"-",19585,"ISC","ISC","ISC"
"17/08/1999 07:10:10",30.23,40.778,10,"mb",4.7,"-",19584,"ISC","ISC","ISC"
"17/08/1999 06:39:59",30.261,40.752,14.4,"mb",4.3,"-",19582,"ISC","ISC","ISC"
"17/08/1999 06:20:19",30.451,40.673,10,"mb",4.6,"-",19580,"ISC","ISC","ISC"
"17/08/1999 06:14:23",29.154,40.755,10,"mb",4.3,"-",19579,"ISC","ISC","ISC"
"17/08/1999 05:43:07",30.31,40.722,10,"mb",4.2,"-",19577,"ISC","ISC","ISC"
"17/08/1999 05:23:14",30.255,40.744,2.2,"mb",4.2,"-",19576,"ISC","ISC","ISC"
"17/08/1999 04:50:48",30.108,40.837,10,"mb",4.9,"-",19573,"ISC","ISC","ISC"
"17/08/1999 04:23:12",29.42,40.526,19.6,"mb",4.3,"-",19569,"ISC","ISC","ISC"
"17/08/1999 03:36:38",30.272,40.363,10,"mb",4,"-",19567,"ISC","ISC","ISC"
"17/08/1999 03:33:08",29.201,40.785,10,"mb",4.7,"-",19566,"ISC","ISC","ISC"
"17/08/1999 03:31:56",29.027,40.714,1.2,"mb",4.3,"-",19565,"ISC","ISC","ISC"
"17/08/1999 03:07:54",30.021,40.798,10,"mb",4.6,"-",19564,"ISC","ISC","ISC"
"17/08/1999 02:57:44",29.717,40.721,20,"mb",4.1,"-",19563,"ISC","ISC","ISC"
"17/08/1999 02:47:02",30.389,40.624,10,"mb",4.1,"-",19562,"ISC","ISC","ISC"
"17/08/1999 02:34:52",30.002,40.955,22.6,"mb",4,"-",19560,"ISC","ISC","ISC"
"17/08/1999 02:21:06",30.346,40.664,10,"mb",4.5,"-",19558,"ISC","ISC","ISC"
"17/08/1999 02:16:28",29.911,40.711,10,"mb",5,"-",19557,"ISC","ISC","ISC"
"17/08/1999 02:01:39",30.004,40.77,15,"Mw",7.6,"Gölcük-Kocaeli",19555,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"19/07/1998 18:27:04",27.3965,40.7165,3.6,"Ml",4.1,"-",19237,"THE","THE","THE"
"21/10/1997 12:49:34",30.4301,40.7143,11.5,"mb",4.2,"-",19090,"ISC","ISC","ISC"
"14/04/1996 10:31:07",27.4739,40.7867,19.9,"mb",4,"-",18689,"ISC","ISC","ISC"
"28/10/1995 11:45:01",27.9717,40.8354,24.8,"mb",4,"-",18619,"ISC","ISC","ISC"
"07/07/1995 20:15:57",29.3264,40.4849,8.7,"mb",4.1,"-",18558,"ISC","ISC","ISC"
"18/04/1995 07:36:04",27.7453,40.8648,22.3,"mb",4.7,"-",18508,"ISC","ISC","ISC"
"13/04/1995 06:08:03",27.74,40.85,22.6,"mb",4.8,"-",18505,"ISC","ISC","ISC"
"08/02/1995 22:24:52",27.7735,40.8032,10,"mb",4.4,"-",11397,"ISC","ISC","ISC"
"20/06/1994 03:36:16",27.3396,40.5711,11.6,"mb",4.1,"-",11307,"ISC","ISC","ISC"
"28/05/1994 20:01:19",29.878,40.6889,9.8,"mb",4,"-",11299,"MOS","MOS","MOS"
"28/03/1994 18:59:01",29.9607,40.3946,17.3,"mb",4,"-",11272,"NEIC","NEIC","NEIC"
"26/01/1994 04:21:38",27.327,40.7309,10,"Ml",4,"-",11239,"THE","THE","THE"
"22/01/1994 08:48:45",27.4859,40.7778,10.7,"Ml",4,"-",11237,"THE","THE","THE"
"25/05/1993 17:36:16",28.0711,40.4701,11.5,"Ml",4.1,"-",11157,"THE","THE","THE"
"18/03/1993 08:51:38",28.004,40.4271,8.5,"mb",4.4,"-",11130,"ISC","ISC","ISC"
"18/03/1993 08:22:45",27.9811,40.4552,9.5,"mb",4.4,"-",11129,"ISC","ISC","ISC"
"18/03/1993 08:19:39",28.0061,40.3995,9.8,"mb",4.1,"-",11128,"ISC","ISC","ISC"
"23/01/1993 16:32:45",28.7635,40.7843,6.3,"Ml",4.1,"-",11109,"THE","THE","THE"
"05/04/1992 02:48:02",27.9314,40.7961,5.6,"mb",4,"-",10973,"NEIC","NEIC","NEIC"
"08/03/1991 10:23:13",27.9093,40.8504,11,"mb",4.5,"-",10718,"ISC","ISC","ISC"
"03/03/1991 09:39:27",29.078,40.637,9.1,"mb",4.6,"-",10716,"ISC","ISC","ISC"
"12/02/1991 10:55:01",28.844,40.788,14.5,"mb",4.8,"-",10710,"ISC","ISC","ISC"
"07/01/1991 06:15:14",28.5579,40.6902,8.3,"Md",4,"-",10688,"NEIC","NEIC","NEIC"
"27/01/1989 10:48:36",29.1492,40.4259,11,"mb",4.1,"-",10314,"ISC","ISC","ISC"
"24/04/1988 22:49:36",28.317,40.892,15,"Mw",5.3,"-",10168,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"27/10/1987 04:15:31",28.4575,40.4182,17.7,"mb",4.4,"-",10074,"ISC","ISC","ISC"
"03/09/1987 18:24:53",29.2403,40.4566,7.5,"mb",4,"-",10042,"ISC","ISC","ISC"
"26/10/1986 05:49:30",28.993,40.8005,10,"Ml",4.6,"-",9905,"ATH","ATH","ATH"
"27/06/1986 20:33:37",28.3459,40.8907,5,"mb",4.1,"-",9847,"ISC","ISC","ISC"
"15/05/1986 20:13:56",27.5684,40.7203,10,"mb",4.6,"-",9803,"NEIC","NEIC","NEIC"
"14/09/1985 17:23:09",29.112,40.7249,7.6,"mb",4.7,"-",9686,"NEIC","NEIC","NEIC"
"04/06/1985 03:05:58",27.8355,40.8584,10,"mb",4.1,"-",9647,"ISC","ISC","ISC"
"27/04/1985 14:33:07",27.3803,40.7354,9.1,"mb",4.4,"-",9635,"ISC","ISC","ISC"
"11/04/1985 15:11:46",29.009,40.7036,6,"mb",4.2,"-",9626,"ISC","ISC","ISC"
"14/11/1984 15:24:25",27.2282,40.3275,5.7,"mb",4.1,"-",13300,"NEIS","NEIS","NEIS"
"27/08/1984 08:32:14",30.0009,40.7375,26.5,"mb",4,"-",13257,"NEIS","NEIS","NEIS"
"26/05/1984 10:39:36",30.2693,40.6741,5.9,"mb",4.1,"-",13201,"ISC","ISC","ISC"
"28/12/1983 21:19:32",30.3814,40.7286,6.6,"Ml",4.5,"-",13091,"ISC","ISC","ISC"
"05/07/1983 14:01:27",27.256,40.311,10,"Mw",6.1,"-",12954,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"09/09/1982 07:47:11",27.8697,40.9766,10,"mb",4.4,"-",12819,"ISC","ISC","ISC"
"27/07/1982 12:23:15",28.9501,40.3752,11,"mb",4.3,"-",12804,"ISC","ISC","ISC"
"12/07/1982 16:46:14",27.8284,40.9958,25.1,"mb",4.6,"-",12792,"ISC","ISC","ISC"
"23/05/1982 18:23:07",29.0393,40.4507,4.4,"Ml",4.2,"-",12761,"ATH","ATH","ATH"
"20/05/1982 04:42:49",28.9825,40.4038,10,"mb",4,"-",12757,"NEIS","NEIS","NEIS"
"17/04/1982 17:12:37",27.3387,40.6021,21.6,"Ml",4.6,"-",12729,"ISC","ISC","ISC"
"16/04/1982 10:01:29",29.844,40.7925,10,"mb",4,"-",12727,"ISC","ISC","ISC"
"28/08/1981 09:17:09",29.2109,40.466,10,"mb",4.1,"-",12551,"NEIS","NEIS","NEIS"
"08/08/1981 17:10:59",28.2574,40.7091,3.3,"Ml",4,"-",12539,"ISC","ISC","ISC"
"03/05/1981 22:41:12",28.0902,40.7945,24,"mb",4,"-",12482,"ISC","ISC","ISC"
"12/03/1981 05:06:03",28.12,40.813,15,"mb",4.7,"-",12453,"ISC","ISC","ISC"
"11/01/1979 21:50:39",29.26,40.3,10,"mb",4.3,"-",12063,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"15/06/1978 01:26:45",27.6835,40.7856,27.9,"mb",4.6,"-",11978,"ISC","ISC","ISC"
"29/05/1976 23:42:08",28.89,40.36,6,"mb",4,"-",11670,"ISC","ISC","ISC"
"13/09/1974 13:10:02",28.2905,40.7932,7.6,"Ml",4.6,"-",18317,"ATH","ATH","ATH"
"18/01/1974 11:57:14",28.94,40.5,18,"mb",4,"-",18238,"ISC","ISC","ISC"
"22/11/1973 15:54:53",29.8804,40.364,8.1,"mb",4.2,"-",18219,"ISC","ISC","ISC"
"03/07/1973 17:06:14",27.54,40.62,6,"Ml",4.1,"-",18181,"ATH","ATH","ATH"
"27/06/1973 12:50:23",27.49,40.72,5,"Ml",4.2,"-",18179,"ATH","ATH","ATH"
"28/02/1972 03:04:35",28.9993,40.4014,6,"mb",4.1,"-",18022,"ISC","ISC","ISC"
"01/05/1971 14:45:27",28.017,40.868,6.9,"mb",4.6,"-",17866,"ISC","ISC","ISC"
"24/12/1969 09:41:32",28.4,40.5,10,"MS",4.3,"-",17443,"ATH","ATH","ATH"
"12/02/1969 09:43:05",30.29,40.7,30,"mb",4.5,"-",17266,"ISC","ISC","ISC"
"06/05/1968 10:38:47",28.63,40.33,4,"mb",4.3,"-",17098,"ISC","ISC","ISC"
"19/09/1967 00:39:34",30.3,40.86,33,"mb",4.4,"-",16982,"ISC","ISC","ISC"
"18/08/1967 20:49:23",30.1,41.2,10,"mb",4.7,"-",16975,"ISC","ISC","ISC"
"14/08/1967 21:09:25",30.37,40.74,25,"mb",4.7,"-",16974,"ISC","ISC","ISC"
"14/08/1967 12:34:19",30.27,40.68,33,"mb",4.4,"-",16973,"ISC","ISC","ISC"
"14/08/1967 02:45:56",30.38,40.75,23,"mb",4.4,"-",16972,"ISC","ISC","ISC"
"06/08/1967 15:09:33",28.8,41,10,"mb",4.3,"-",16967,"ISC","ISC","ISC"
"03/08/1967 08:28:17",30.3,41,26,"mb",4,"-",16965,"ISC","ISC","ISC"
"02/08/1967 16:33:23",30.46,40.67,30,"mb",4.4,"-",16964,"ISC","ISC","ISC"
"02/08/1967 03:29:07",27.2,40.7,10,"mb",4.2,"-",16963,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"01/08/1967 02:05:10",30.4,40.4,46,"mb",4.4,"-",16962,"ISC","ISC","ISC"
"31/07/1967 08:12:05",27.62,40.6,4,"mb",4.2,"-",16960,"ISC","ISC","ISC"
"30/07/1967 19:58:46",30.46,40.75,27,"mb",4.5,"-",16958,"ISC","ISC","ISC"
"26/07/1967 02:03:02",30.5,41.1,33,"mb",4.2,"-",16949,"ISC","ISC","ISC"
"24/07/1967 00:06:59",30.45,40.78,17,"mb",4.2,"-",16940,"ISC","ISC","ISC"
"23/07/1967 11:03:08",30.3,40.4,33,"mb",4.2,"-",16937,"ISC","ISC","ISC"
"23/07/1967 10:39:28",30,40.98,33,"mb",4.3,"-",16936,"ISC","ISC","ISC"
"23/07/1967 08:42:23",30.36,40.74,11,"mb",4.1,"-",16935,"ISC","ISC","ISC"
"23/07/1967 05:48:55",30.36,40.63,33,"mb",4.6,"-",16934,"ISC","ISC","ISC"
"23/07/1967 05:03:39",30.35,40.61,21,"mb",4.5,"-",16933,"ISC","ISC","ISC"
"22/07/1967 22:21:41",30.45,41,49,"mb",4.6,"-",16928,"ISC","ISC","ISC"
"22/07/1967 21:35:40",30.42,40.79,4,"mb",4.7,"-",16927,"ISC","ISC","ISC"
"22/07/1967 19:07:21",30,41,33,"MS",4.7,"-",16922,"LAO","LAO","LAO"
"01/06/1967 12:31:36",28.9,40.93,10,"MS",4,"-",16891,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"21/08/1966 02:30:45",27.436,40.312,16.6,"mb",4.8,"-",16810,"ISC","ISC","ISC"
"21/12/1964 01:50:10",27.5,40.5,10,"mb",4.6,"-",16569,"ISC","ISC","ISC"
"06/10/1964 15:31:23",28.23,40.3,34,"MS",7,"Karacabey-Bursa",16549,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"18/04/1964 22:52:54",29,41.1,33,"mb",4.2,"-",16490,"ISC","ISC","ISC"
"24/09/1963 03:10:44",28.9,40.84,10,"MS",4.8,"-",16454,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"18/09/1963 17:58:15",29.12,40.77,40,"MS",6.3,"Yalova",16453,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"19/04/1962 09:22:19",28.84,40.75,10,"MS",4.3,"-",9533,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"06/08/1959 13:08:00",29.2,40.4,10,"MS",4.1,"-",9433,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"26/07/1959 18:07:06",27.54,40.91,10,"MS",5.4,"-",9432,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"02/04/1959 05:34:29",29.41,40.5,20,"MS",4.6,"-",9417,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"26/12/1957 16:01:45",29.72,40.83,10,"MS",5.2,"-",9372,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"30/08/1956 01:15:00",30.2,41,5,"MS",4,"-",9311,"UNS","UNS","UNS"
"28/08/1956 02:29:51",29.93,41.08,80,"MS",4.6,"-",9310,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"06/01/1956 15:52:59",30.2,41,10,"MS",4.9,"-",9267,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"26/10/1954 11:34:29",27.52,40.56,10,"MS",4.6,"-",9235,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"25/10/1954 00:37:19",27.53,40.46,10,"MS",4.8,"-",9234,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"23/03/1954 13:58:53",27.12,40.58,10,"MS",5.1,"-",9207,"Alsan ve Diğ.1975","Alsan ve Diğ.1975","Alsan ve Diğ.1975"
"13/03/1952 07:30:01",28.14,41.02,11,"MS",4.9,"-",9108,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"23/01/1952 00:15:00",30.4,40.8,15,"MS",4.3,"-",9105,"UNS","UNS","UNS"
"13/12/1948 03:00:00",30,41,15,"MS",4.2,"-",9032,"UNS","UNS","UNS"
"08/09/1943 15:35:00",30.4,40.7,5,"MS",4,"-",8907,"UNS","UNS","UNS"
"16/06/1942 07:42:34",27.8,40.8,20,"MS",5.6,"-",8882,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"13/06/1940 13:02:00",30.17,41.34,30,"MS",4.6,"-",8837,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"22/10/1935 08:29:43",27.21,40.31,10,"MS",5.2,"-",8726,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"04/01/1935 16:19:24",27.5,40.5,5,"MS",4.5,"-",8709,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"04/01/1935 16:18:57",27.5,40.5,5,"MS",4.6,"-",8708,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"11/10/1929 00:00:54",27.46,41.11,10,"MS",4.5,"-",8549,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"24/06/1925 01:00:34",30.39,40.88,10,"MS",4.6,"-",8386,"Ayhan ve Diğ.1981","Ayhan ve Diğ.1981","Ayhan ve Diğ.1981"
"10/06/1925 05:45:00",29,41,8,"MS",4.4,"-",8385,"UNS","UNS","UNS"
"01/09/1924 01:00:00",29.2,40.9,15,"MS",4.3,"-",8355,"UNS","UNS","UNS"